nr;kuenstler_id;kuenstler;theoretiker_id;theoretiker;text;frage
1;tehching-hsieh;Tehching Hsieh;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;"Tehching Hsieh bindet sein Leben an eine Regel und lässt Zeit körperlich verstreichen. Wendy Hui Kyong Chun untersucht digitale Medien dagegen als Systeme, die durch Wiederholung, Gewohnheit und permanentes Aktualisieren stabil bleiben. Bei beiden erzeugt Wiederholung keine Rückkehr zum selben Moment: Der nächste Stempel an Hsiehs Stechuhr verbraucht Lebenszeit; das nächste Update reproduziert ein Netzwerk unter veränderten Bedingungen. Hsieh macht diesen Verbrauch am Körper sichtbar, während digitale Medien ihn weitgehend hinter Interfaces verbergen. Die Regel stabilisiert jeweils einen Raum möglicher Operationen, innerhalb dessen immer wieder aktualisiert werden muss. So rücken Performance und Plattform überraschend nah zusammen.";Was würde sichtbar, wenn digitale Wiederholung ebenso als verbrauchte Lebenszeit wahrgenommen würde wie bei Hsieh?
2;dan-graham;Dan Graham;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;"Dan Graham baut Situationen, in denen Menschen sich selbst und andere beim Beobachten beobachten; Spiegel, Glas und Videoverzögerung machen Gegenwart räumlich und zeitlich instabil. Wendy Hui Kyong Chun beschreibt Netzwerke, Gewohnheiten und Updates als Bedingungen digitaler Gegenwart. Bei Graham kehrt die eigene Beobachtung als Bild zurück; im Netzwerk kehrt vergangenes Verhalten als Profil, Empfehlung oder Erwartung zurück. Beide verwandeln Spuren früherer Operationen in Bedingungen der nächsten. Graham stellt diesen Vorgang jedoch als wahrnehmbare Versuchsanordnung aus, während er auf Plattformen weitgehend infrastrukturell abläuft. Was dort Profil heißt, könnte hier als zeitversetzter Spiegel erscheinen.";Wie verändert sich Selbstbeobachtung, wenn der Spiegel schon vorausrechnet?
3;louise-bourgeois;Louise Bourgeois;gregory-bateson;Gregory Bateson;"Louise Bourgeois baut Räume, Körperformen und Objekte, in denen Vergangenes wieder gegenwärtig werden kann. Gregory Bateson fragt danach, wann ein Unterschied innerhalb eines Zusammenhangs einen weiteren Unterschied macht. Bourgeois' wiederkehrende Formen können deshalb als Unterschiede gelesen werden, deren Bedeutung sich mit ihrem jeweiligen Kontext verändert. Die Cells stabilisieren räumliche Anordnungen, aber das Wahrnehmungsereignis lässt sich darin nicht festhalten. Batesons Begriff des Musters erklärt, wie Beziehungen über Wiederholungen hinweg erkennbar bleiben; Bourgeois zeigt, wie körperlich verschieden eine solche Wiederkehr erfahren werden kann. Erinnerung wäre dann weder bloß gespeicherter Zustand noch reine Wiederholung, sondern eine gegenwärtige Reorganisation von Differenzen.";Wo befindet sich eine Erinnerung, wenn sie erst in ihrer erneuten Wahrnehmung zu einem Unterschied wird?
4;sol-lewitt;Sol LeWitt;niklas-luhmann;Niklas Luhmann;"Sol LeWitt trennt die Regel eines Werks von seiner jeweiligen materiellen Ausführung. Niklas Luhmann unterscheidet entsprechend zwischen Strukturen, die Möglichkeiten einschränken, und Operationen, die immer nur gegenwärtig stattfinden können. Eine Wall Drawing kann deshalb dieselbe bleiben, obwohl ihre konkrete Realisierung vergeht und an einem anderen Ort erneut ausgeführt wird. Die Instruktion verräumlicht Möglichkeiten; die Ausführung aktualisiert jeweils nur eine davon. Dennoch ist die konkrete Zeichnung nicht einfach in der Regel enthalten, sie muss hergestellt werden. Das Werk existiert damit merkwürdig zwischen wiederholbarer Entscheidungsstruktur und unwiederholbarem Vollzug.";Was genau bleibt identisch, wenn ein Werk nur existiert, indem es immer wieder neu hergestellt wird?
5;felix-gonzalez-torres;Felix Gonzalez-Torres;george-spencer-brown;George Spencer-Brown;Felix Gonzalez-Torres lässt Werke schrumpfen, verschwinden und wieder aufgefüllt werden, ohne dass sie deshalb aufhören, dieselben Werke zu sein. George Spencer-Brown beginnt mit einer einfacheren Operation: Eine Grenze wird gezogen und erzeugt dadurch eine markierte und eine unmarkierte Seite. Bei Gonzalez-Torres scheint die Grenze des Werks ebenfalls präzise bestimmt und zugleich materiell beweglich. Ein Bonbon kann die Installation verlassen, gegessen werden und verschwinden, während die Werkidentität bestehen bleibt. Die Form stabilisiert sich also nicht notwendig durch die Identität ihrer Bestandteile. Spencer-Browns Grenze lässt fragen, wo hier überhaupt die relevante Unterscheidung verläuft: zwischen Werk und Nicht-Werk, Regel und Material, Anwesenheit und Abwesenheit?;Wie viel kann eine Form verlieren und trotzdem dieselbe bleiben?
6;christian-marclay;Christian Marclay;gregory-bateson;Gregory Bateson;"Christian Marclays The Clock montiert Tausende filmische Darstellungen von Uhrzeiten so, dass sie mit der tatsächlichen Uhrzeit des Publikums zusammenfallen. Gregory Bateson versteht Information nicht als Ding, sondern als Unterschied, der innerhalb eines Zusammenhangs einen Unterschied macht. Eine eingeblendete Uhrzeit ist deshalb zunächst nur eine Differenz; erst ihre Beziehung zur gegenwärtigen Uhrzeit des Betrachtenden macht sie zum Ereignis. Marclay verräumlicht enorme Mengen vergangener Filmzeit in einem montierten Archiv und verzeitlicht dieses Archiv wieder durch seine Aufführung. Derselbe Ausschnitt bekommt dadurch um 14:37 Uhr eine andere operative Bedeutung als außerhalb dieser Synchronisation. Vergangenheit und Gegenwart werden nicht identisch, sondern für einen Moment aufeinander bezogen.";Was genau nehmen wir wahr, wenn eine dargestellte Zeit plötzlich unsere eigene Zeit bezeichnet?
7;donald-judd;Donald Judd;michel-serres;Michel Serres;Donald Judd ordnet Körper und Abstände mit großer metrischer Präzision. Michel Serres denkt Raum dagegen auch über Wege, Nachbarschaften und Übergänge. Bei Judd bleibt der Abstand zwischen zwei Objekten messbar gleich, während sich ihre Beziehung im Gehen verändert. Was nebeneinander steht, wird erst durch den Weg des Körpers zu einer Folge von Nähe und Ferne.;Ist Nähe eine Frage des Abstands oder des Weges?
8;bruce-nauman;Bruce Nauman;jacques-derrida;Jacques Derrida;"Bruce Nauman wiederholt Bewegungen, Wörter, Gesten und Videosequenzen, bis ihre scheinbare Identität instabil wird. Jacques Derrida beschreibt Iterabilität gerade dadurch, dass etwas wiederholbar sein muss, um als Zeichen funktionieren zu können, sich bei jeder Wiederholung aber in einen neuen Zusammenhang einschreibt. Naumans Loops machen diese Verschiebung körperlich wahrnehmbar. Die technische Aufnahme kann identisch zurückkehren; der wahrnehmende Körper tut es nicht. Was räumlich oder medial stabilisiert wurde, erzeugt deshalb eine Folge verschiedener Gegenwarten. Derridas Spur bekommt bei Nauman beinahe einen Körper.";Wo liegt die Wiederholung, wenn nur die Aufnahme gleich bleibt?
9;james-turrell;James Turrell;hannah-arendt;Hannah Arendt;"James Turrell baut Räume, in denen Licht nicht nur etwas sichtbar macht, sondern das Sehen selbst auffällig wird. Hannah Arendt beschreibt Öffentlichkeit als einen Raum des Erscheinens, der entsteht, wenn Menschen einander sichtbar und hörbar werden. Turrell erzeugt diesen Raum technisch und architektonisch; Arendt versteht ihn als relationale Bedingung gemeinsamen Handelns. Beide behandeln Erscheinen damit nicht als selbstverständliche Eigenschaft vorhandener Dinge. Etwas kann nur erscheinen, wenn Bedingungen vorhanden sind, unter denen es erscheinen kann. Der Unterschied ist entscheidend: Bei Turrell betrifft dies zunächst Wahrnehmung, bei Arendt eine gemeinsam hervorgebrachte Welt.";Was geschieht mit einer gemeinsamen Welt, wenn bereits die Bedingungen ihres Erscheinens verschieden verteilt sind?
10;william-kentridge;William Kentridge;donna-haraway;Donna Haraway;William Kentridge zeichnet, löscht und zeichnet erneut, während frühere Zustände als verschmierte Spuren auf dem Papier bleiben. Donna Haraway wendet sich gegen den Blick von nirgendwo und besteht darauf, dass Wissen von konkreten, situierten Positionen aus entsteht. Kentridges Blatt besitzt ebenfalls keinen unschuldigen Ausgangszustand mehr: Jede neue Zeichnung entsteht auf den materiellen Folgen früherer Entscheidungen. Die Stelle, von der aus weitergearbeitet wird, trägt ihre Geschichte bereits mit sich. Haraways Situiertheit erhält hier eine zeitliche Dimension, Position wäre nicht nur ein Wo, sondern auch ein Nach-was. Zugleich macht die Animation diese irreversible Geschichte technisch erneut abspielbar.;Kann eine Stelle bestimmt werden, ohne ihre Geschichte mitzudenken?
